工作单位,实习岗位,工作地点,岗位职责,岗位要求,薪资待遇,Unnamed: 6
易方达基金管理有限公司,行研实习生,北京市、上海市、广东省、香港特别行政区,金融、行业分析业务,硕士研究生,0.0,
上海红星美凯龙品牌管理有限公司天津河西区分公司,管培生,天津市 ,办事业务和有关业务, 本科 ,2250.0,
中电云计算技术有限公司,综合管理岗,北京市 ,工程技术业务, 硕士研究生 ,7000.0,
天津国有资本投资运营有限公司,审计部实习生,天津市 ,办事业务和有关业务, 本科 ,2250.0,
天津新东方培训学校有限公司,,,教培业务, 本科 ,2250.0,
天津允公律师事务所,实习律师,天津市 ,法律专业业务, 本科,0.0,
北京明朝万达科技股份有限公司,平面设计实习生,北京市、上海市、广东省、四川省、陕西省 ,科学研究业务, 本科 ,10000.0,
天津新东方前途出国咨询有限公司,综合行政实习生,天津市,商业和服务业业务, 本科 ,3750.0,
新兴际华科技（天津）有限公司,产品实习生（北京）,天津市 ,产品及营销专业业务, 本科 ,3750.0,
天津天才数字科技有限公司,金融事业部-运营数据分析部实习生,北京市、天津市 ,商业和服务业业务, 本科 ,5250.0,
天津华北集团有限公司,金融事业部-合规法务部实习生、资金财务部实习生、综合管理内控审计实习生,天津市,金融业务,本科,1500.0,
天津费曼动力科技有限公司,语音算法工程师、自然语言处理算法工程师、计算机视觉算法工程师,天津市 ,计算机算法专业业务, 本科 ,3750.0,
成都普瑞眼科医院股份有限公司,课程研发实习生,天津市 ,卫生专业技术业务, 硕士研究生 ,9000.0,
北京络捷斯特科技发展股份有限公司,校园大使,北京市 ,办事业务和有关业务, 本科 ,3750.0,
天津和平区学为贵培训学校有限公司,运营管理类实习生,天津市 ,办事业务和有关业务, 本科 ,3750.0,
天津天创环境技术有限公司,工程建设类、企业管理类实习生,天津市 ,综合业务, 本科 ,2250.0,
海油私募基金管理有限公司,金融实习生,北京市 ,金融业务业务, 硕士研究生 ,1500.0,
香港奥法赛有限公司上海代表处,财务、运营实习生,上海市 ,商业和服务业业务, 本科 ,9000.0,
保定市爱和城高级中学有限公司,高中教师,河北省 ,教学业务, 本科 ,2250.0,
杭州捍尔目科技集团有限公司,财务实习生,浙江省 ,综合专业技术业务, 本科 ,2250.0,
青竹学园（天津）教育科技有限公司,人力资源管理岗,天津市 ,商业和服务业业务, 本科 ,5250.0,
渤海财产保险股份有限公司,统计实习生,天津市 ,金融业务业务, 本科 ,2250.0,
北京康特瑞科统计科技有限责任公司,统计程序实习生,陕西省、广西壮族自治区 ,统计业务 程序应用业务, 本科,2250.0, 
北京大学长三角光电科学研究院,各部门实习生,江苏省 ,科学研究业务, 硕士研究生 ,5250.0,
天津和治友德制药有限公司天津分公司,,天津市 ,经济业务业务,本科 ,2250.0,
深圳众汇投资管理有限公司,软件工程师,广东省 ,金融业务业务, 硕士研究生 ,3750.0,
有谦软联（北京）信息技术有限公司,产品运营类实习生,天津市 ,综合业务, 本科 ,9000.0,
有谦软联（北京）信息技术有限公司, 需求分析设计类 党委组织部（人力资源部）实习生 销售,北京市 ,人力资源、市场营销业务, 本科 ,10000.0,
青竹学园（天津）教育科技有限公司,实习生,天津市 ,商业和服务业业务, 2024-2025届本科 ,1500.0,
华安财产保险股份有限公司天津分公司,销售助理实习生,天津市 ,综合专业技术业务, 本科 ,1500.0,
迪哲（上海）医药有限公司,行政秘书,上海市 ,行政专业事务, 本科 ,3750.0,
西电济南变压器股份有限公司,工会干事 试验业务,山东省 ,办事业务和有关业务, 本科 ,5250.0,
西电济南变压器股份有限公司,舆情分析实习生,山东省 ,工程技术业务, 硕士研究生 ,10000.0,
天津渤海国有资本研究院有限公司,研究部实习生,天津市 ,科学研究业务, 硕士研究生 ,2250.0,
北京市发展改革政策研究中心经济形势分析课题组,市场营销 知识产权 新媒体运营 数据处理 软件开发等各类实习岗,北京市,科学研究业务, 硕士研究生 ,1500.0,
智链知产金融科技（青岛）有限公司,自动化助理工程师,山东省 ,商业和服务业业务, 本科 ,1500.0,
欧尚元智能装备有限公司,研发实验员,天津市、吉林省、黑龙江省、山东省、内蒙古自治区 ,工程技术, 本科 ,9000.0,
欧尚元智能装备有限公司,证券事务专员,天津市、吉林省、黑龙江省、山东省、内蒙古自治区 ,财务、金融业务, 本科 ,9000.0,
泰康人寿保险有限责任公司天津分公司,游戏后端开发工程师,天津市 ,金融业务业务, 本科 ,1500.0,
天津元生无界科技有限公司,产品经理（供应链、生产制造、物流）UE开发工程师 视频后期制作师,天津市,财务、运营、技术专业业务业务,本科,5250.0,
华安证券股份有限公司,研发业务实习生、运维工程师实习生,北京市、天津市、浙江省、广东省、四川省 ,综合业务, 硕士研究生 ,2250.0,
沈阳万类生物科技有限公司,见习销售代表,辽宁省 ,科学研究业务, 本科 ,2250.0,
沈阳万类生物科技有限公司,AI算法工程师实习岗位,北京市、天津市、重庆市、上海市、辽宁省 ,科学研究业务, 本科 ,5250.0,
杭州德睿智药科技有限公司,助理数据员,浙江省 ,专业技术业务,,5250.0,
鼎力可持续顾问（深圳）有限公司北京分公司,审计实习生 助理咨询师 助理研究员,北京市 广东省 ,财务专业业务,,2250.0,
天津丞明投资集团有限公司,财务实习生,天津市 ,经济业务业务, 本科 ,2250.0,
天津丞明投资集团有限公司,律师实习岗位,天津市 ,法律专业业务, 本科 ,1500.0,
天津云脉三六五科技有限公司,技术研发实习岗位——前端、后端开发工程师,天津市 ,专业技术业务业务, 本科 ,0.0,
天津云脉三六五科技有限公司,投资人关系实习生,天津市 ,综合专业技术业务, 本科 ,3750.0,
链兴（北京）咨询有限公司,检测实习生、分析师助理,北京市 天津市 ,金融业务业务,本科   ,2250.0, 
中华全国供销合作总社天津再生资源研究所,会计岗位实习生,天津市 ,科学研究业务, 本科 ,2250.0,
中华全国供销合作总社天津再生资源研究所,管理咨询实习生 采样岗位实习生,天津市 ,综合业务, 本科 ,2250.0,
中天华溥管理咨询（北京）有限公司 ,舆情监控见习岗 ,北京市 ,商业和服务业业务, 硕士研究生 ,3750.0,
德加百利（天津）科技发展有限公司,业务秘书,天津市 ,商业和服务业业务, 本科 ,2250.0,
德加百利（天津）科技发展有限公司,业务秘书,天津市 ,商业和服务业业务,本科 ,2250.0,
联想集团有限公司,战略部实习生,北京市海淀区西北旺东路联想总部,"1- 了解国内外广告营销奖项，能够承担优秀案例包装及相关商务合作工作；
2- 协助筹办小米营销对外及自办活动的执行；
3- 协助维护To-B市场行业关系，参与接待国内及国际客户企业交流；
4- 辅助市场内部其他日常工作","1.优秀的信息搜索和分析能力，熟悉商业报告等工作
商业分析，战略规划，咨询公司实习经历优先
3.英文听说读写能力，专业不限，本科/研究生均可
4.对战略规划感兴趣，踏实认真，尊重实习机会
5.保证每周3天以上、实习期3个月以上，欢迎长期实习",3750.0,
小米科技有限责任公司,营销中心市场部实习生,北京市,"1、理解商业目标和运营过程，综合数据分析协助进行目标、预算管理，为实现业务目标提供支持；
2、参与重点项目的推荐与落地配合，较好的完成职能间协同与项目进展的把控；
3、协助进行日常策略工作，包括数据支持、策略配置、策略复盘等工作，分析解决现有业务问题，达成业务结果；
4、参与项目复盘对外展示。","1- 市场营销／广告等相关专业背景优先；
2- 有营销策划能力, 擅长PPT撰写；
3- 优秀的中英文听说读写沟通能力优先；
4- 积极主动、责任心强，有良好的团队协作力，强迫症优先
5- 至少实习四个月。",4500.0,
滴滴出行科技有限公司,运营/产品与用户运营实习生,广州市,"1. 为大型商业银行总行提供市场风险管理咨询服务，协助提升全行市场风险管理水平；
2. 整理金融市场业务数据，对交易数据进行清洗分析，协助开展金融衍生品估值模型搭建及挖掘分析；
3. 金融监管要求解读，协助开展市场风险监管动向追踪与研究。","1、本科/研究生在读，热爱互联网
2、善于思考，具备数据分析能力、快速学习能力；
3、沟通表达能力强，能够高效推动项目落地；
4、熟练使用excel、PowerPoint，熟悉使用SQL加分；
5、责任心强、正直、皮实、有抗压能力；
6、不支持远程办公，需每周到岗5天，实习期四个月及以上，最好6个月。",3750.0,
毕马威企业咨询（中国）有限公司,金融风险管理咨询（FRM）实习生,北京市,"1、【对外沟通】协助规划和执行投资者关系管理计划
2、【对内传播】与公司内各个业务和职能部门联络
3、【资本市场分析】海外和国内互联网行业动向跟踪，海外和国内竞对财报信息追踪与分析，跟踪海外和国内各项金融市场数据
4、【投资者关系管理】支持其他有关于投资者关系团队与股东和公司事务管理的工作","1. 接受高强度工作及加班节奏；
2. 良好的英文阅读能力，较强的沟通能力；
3. 实习时间：一周五天，连续实习三个月及以上，时间不满足请勿投递；
4. 金融学、经济学等专业本科或研究生在读。",4500.0,
百度在线网络技术有限公司,investor Relations实习生,北京市 百度大厦,"1.熟悉报销相关制度，对报销进行审核，对报销存在的问题进行沟通；
2.对合同进行整理，催收，归档；
3.对发票进行整理、登记和催收，以及相关的交接工作；
4.对财务凭证进行整理和归档；
5.其他交办的工作。","1、优秀的中英文听说读写能力
2、注重细节
3、强大的办公技能
4、需要有一定财务基础",3200.0,
深圳雾芯科技有限公司（RELX悦刻）,财务实习生,深圳市,"1、开展行业深度研究、公司研究和行业数据搜集（会培训多种海内外主流数据库的使用）；
2、深度参与行业研究与项目执行，协助组内完成pitchbook及商业计划书的撰写，全面理解财务顾问业务和一级市场；
3、通过各种渠道，完成行业研究报告，深入判断医疗行业发展方向，及挖掘优质标的","1.熟悉基本会计知识；
  2.资料整理能力；
  3.本科及以上学历，会计相关专业。
  4.需要每周出勤≥4天",4500.0,
易凯资本,投资银行实习生–医疗方向（药组）,北京-华润大厦（需要onsite）,"1、开展行业深度研究，搜集消费行业数据和投融资数据。参加行业会议，深入理解消费行业发展趋势；
2、深度参与行业研究与项目执行，协助完成pitchbook及商业计划书的撰写，全面理解FA和一级市场；
3、完成行业研究报告，深入判断消费细分行业发展方向.","1、金融等相关专业在读研究生及以上同学优先，有生物医药相关实习经验者优先；
2、有FA/VC/投行实习经验优先，实习期4个月以上，每周4天以上；
3、财务基础扎实，优秀的英文沟通和写作能力；
4、沟通能力、团队合作、分析能力及抗压性强，善于时间管理；
5、熟练使用PowerPoint等各种办公软件",4500.0,
易凯资本,投资银行实习生–消费方向,北京华润大厦(需要onsite),"参与保险行业为主的各类咨询项目，包括但不限于：
1、风险管理咨询项目，包括偿付能力风险管理体系评估、管理制度优化、风险偏好体系优化等；
2、内控建设与内部审计项目，包括梳理、评估及优化业务流程及风险管理体系，撰写项目报告；
3、其他相关咨询项目与课题研究，如ESG等最新/热点话题市场研究与调研等。","1、金融相关专业在读研究生同学优先；
2、有投资/FA/券商实习经验优先，实习期4个月及以上，每周4天及以上；
3、优秀的英文沟通和写作能力；
4、沟通能力、团队合作、分析能力及抗压性强，善于时间管理；
5、熟练使用PowerPoint等各种办公软件。",5000.0,
KPMG BJ/SH 风险管理咨询保险团队,实习生,北京/上海（二选一）,"1.协助销售部门收集分析数据
2.按照要求及时提供各项报表
3.协助销售同事申请公司内部资料，做好资料登记发放工作
4.根据上级主管安排，协助完成区域行政支持相关工作","1、 一周5天，实习期间3个月，可接受加班、出差；
2、具有保险/咨询公司实习经验者优先，保险/金融/精算相关专业优先；
3、工作态度积极，学习能力强，表现优异者可争取留用机会。",4050.0,
迪哲(上海)医药有限公司,销售助理实习生,上海市迪哲(上海)医药有限公司,协助数据分析,"1.大三或研二
2.Excel技能熟练                        3.一周实习4天及以上，连续三个月或以上",3750.0,
迪哲(上海)医药有限公司,市场部实习生,上海市迪哲(上海)医药有限公司,协助处理安排日常工作事务，包括日程安排、文件处理、财务报销、数据统计与整理等。," 1.2024年及之后毕业的在校生，每周实习3天以上
2.积极主动，学习能力强，善于沟通协调
",3750.0,
北京市快手科技有限公司,快手HR实习生,北京市快手科技有限公司,"1.了解业务需求，通过各种招聘渠道寻访并识别匹配的人选；
2.协助招聘，对接面试官和候选人，安排和接待面试并全程跟进面试流程；
3.协助进行招聘渠道维护开拓相关的工作；
协助进行人力资源相关的数据统计工作、行业人才mapping等其他事宜。",21届及以后毕业的本科或研究生，专业不限,5400.0,
新华社,其他人员,北京市,此次招聘新华社总社岗位116个、国内分社岗位31个，涵盖采编、技术、经营、行政、财务等各类岗位，专业类别包括但不限于新闻传播类、文学类、历史学类、哲学类、语言类、法学类、经济学类、管理学类、财会类、工学类、通信类、理学类、艺术学类、教育学类等。,"1.具有中华人民共和国国籍，拥护中华人民共和国宪法，拥护中国共产党领导和社会主义制度。
2.具有良好的政治素质和道德品行，坚持马克思主义新闻观，无参加非法组织或活动及其他不良记录。
3.2024年全国普通高等学校应届毕业生（含两年择业期内未落实工作单位的高校毕业生）；在国（境）外取得硕士及以上学历的留学回国人员，需在2024年7月1日前取得毕业证书和教育部留学服务中心学历认证，留学时间1年（360天）以上，符合教育部留学服务中心首次办理就业派遣条件。
申请在北京落户的非京籍留学人员，毕业回国时间原则上不早于2023年1月1日。
4.所学专业与岗位需求相符，大学英语六级成绩一般应达到425分及以上，对外文水平另有要求的以岗位条件为准，报考技术研发、视觉设计、动画编辑等岗位的毕业生，英语条件可适当放宽。
5.具有良好的身体和心理素质。
6.符合国家法律法规规定的其他条件和新华社有关规定。
7.服从驻外工作安排。
8.符合国家和新华社关于亲属回避的相关政策规定。",3000.0,
人教教材中心有限责任公司,新闻出版和文化工作人员,北京市,"1. 负责制定各类图书产品销售政策和营销规划。
2. 负责年度重点项目统筹，参与策划并组织各类营销活动、重要会议以及产品培训。
3. 负责协调产品相关资源服务市场，建设专家资源库和媒体资源库。","1.专业要求市场营销类、经济管理类、广告传播类及相关专业硕士及以上学历。
2.?了解出版行业知识、市场营销与品牌管理知识，掌握新媒体运营技能。
3. 具有良好的协调能力和沟通能力、计划与执行能力、客户关系管理能力。
4. 有体育、文艺特长者尤佳。",10000.0,
远东控股集团有限公司,其他专业技术人员,江苏省 / 江西省 / 四川省,"1.熟悉公司业务发展，协助制定公司发展战略规划及业务发展目标策略
2.负责公司日常管理工作，沟通协调各部门业务工作
3.协助完善公司管理体系及架构，推进企业现代管理进程
4.协助对外接待及客户维系工作","职能类管培生（战略行研、高管秘书、财务、物流采购、营销支持等）
数量：40
【培养方向】：战略行研、高管秘书、财务、物流采购、营销支持等
【工作地点】：江苏宜兴、江苏南通、江苏泰州、四川宜宾
【学历要求】：硕士研究生
【专业要求】：理工科类、管理类、行政类、财务类、金融类、经济学类、法律类、供应链类等相关专业
【能力要求】：具备较强的分析与解决问题的能力、表达沟通与团队协作能力、逻辑思维以及学习能力。
薪酬范围：6-9K营销类管培生 （电气、材料、机械、市场营销等）
需求数量：60??
薪酬范围：6-9K，定岗后按照营销计算，上不封顶
【培养方向】：客户经理/业务拓展员
【工作地点】：全国各区域可选
【学历要求】：本科
【专业要求】：化工、材料、电气、绝缘、海工、机械、市场营销、等相关专业
【能力要求】：具备良好的沟通表达能力，人际交往能力；吃苦耐劳，具有较强的抗压能力，喜欢挑战，热爱营销工作
【工作内容】：开展相关营销工作和业务拓展工作。
?区域渠道经理（储备）?
薪酬范围：6-9K????
需求数量：10
【培养方向】：区域渠道经理（储备）
【工作地点】：全国各区域可选
【学历要求】：本科
【专业要求】：市场营销、管理类、带机械、材料、电子商务等相关专业
【能力要求】：具备良好的沟通表达能力，人际交往能力；吃苦耐劳，具有较强的抗压能力，喜欢挑战，热爱营销工作。
【工作内容】执行公司的战略方向、将策略落地到区域到门店；根据区域市场的商情分析为公司决策者提供一线信息，完成区域市场目标。",10000.0,
广东国腾量子科技有限公司,经济业务人员,广东省,"1通过用户行为及策略数据分析，输出定性和定量的分析结果，用于指导运营策略
2通过各种手段和方法引导新用户购买转化
3输出增长策略及方案，通过A/B test，制定实验计划，快速验证项目有效性
4推动方案落地，与各local团队相关方沟通，推进项目上线",工商管理、行政管理、市场营销、公共管理等相关专业本科,7000.0,
阿里巴巴国际数字商业集团-LAZADA,用户增长运营,北京望京,"1.根据百度商业产品发展目标，参与产品的规划与设计，打造互联网行业一流企业，发现问题、分析需求，提出并实施解决方案；
2.持续监控并分析产品数据，发现可改进之处，提出并推动优化方案，管理并组织项目，与技术团队和运营团队合作推进产品发展；
3.基于网民和客户行为的海量数据挖掘和建模，完成商业产品变现策略调研、设计、分析和评估；
4.进行行业调研和分析，完成相应产品策略研究或评估报告报告，把握、理解网民和客户的需求变化，推进产品策略进行升级改进。","1.具有ownership，有强烈的成长意愿，自我驱动；
2.执行力强、协作能力强、跨国沟通能力强；
3.具备良好的逻辑分析、数据驱动，熟练使用sql优先
4.英语水平优秀，可用英语进行日常工作沟通优先；",7000.0,
