工作单位,实习岗位,工作地点,岗位职责,岗位要求,薪资待遇,Unnamed: 6
天风证券研究所,天风电子组（新财富白金团队）实习生,远程,无,"
1.985、财经 211 高校/世界知名高校；?
2.对二级市场有浓厚兴趣，做事认真踏实；
3.?时间充裕，能保证 3 个月以上实习期（6 个月以上优先），每周至少 3 天（可在学校远程办公）；?
4.大四保研、研一尤佳。
加分项，不作要求：?1.理工背景；?2.有一定财务基础",4200.0,
百度在线网络技术（北京）有限公司,"技术类：机器学习、C++/PHP/GO、Web前端、JAVA研发、测试开发等方向
产品类：产品经理、产品运营、商业产品经理、设计等方向
专业服务和管理支持类：人力资源、品牌市场、运营分析、财务等方向
政企行业解决方案和服务：政策研究、政府事务、战略合作与业务发展等方向",北京、上海、深圳、大连、成都、香港,无,更多信息请关注“百度招聘”公众号,3000.0,
阿里云计算有限公司,"1、研发类：基础平台研发工程师、研发工程师JAVA、研发工程师C/C++、研发工程师Golang、测试开发工程师、前端开发工程师…?
2、算法类：机器学习、计算机视觉、自然语言处理、视频编码与处理、音频算法…
3、设计类：创意设计师、体验设计师…
4、风险管理类：风险策略专员-云安全…
5、营销类：市场营销…
6、职能类：业务财务专员…
7、数据类：数据分析师…
8、更多职类：品牌公关传播…",杭州、北京、上海、深圳、广州、中国香港、吉隆坡、新加坡、曼谷、东京、雅加达等全球数十个城市,无,岗位要求： 专业不限，在2024年11月1日-2025年10月31日期间毕业的同学；中国大陆（内地）以毕业证为准，中国港澳台及海外地区以学位证为准。,7000.0,
OPPO广东移动通信有限公司,"25届寻梦实习校园招聘本硕博招聘岗位（更多博士岗位请关注OPPO招聘官网）：
岗位类别岗位名称岗位类别岗位名称
AI/算法类影像算法工程师（Low-level/ISP/大模型方向）硬件类硬件工程师
AI/算法类影像算法工程师硬件类射频工程师
AI/算法类通信AI算法工程师硬件类工艺工程师
AI/算法类多模态算法工程师硬件类结构工程师
AI/算法类高级影像算法工程师（Low-level/ISP/大模型方向）-博士硬件类热设计工程师
AI/算法类音频算法工程师硬件类CAE工程师
AI/算法类NLP算法工程师（大模型应用方向）硬件类传感器工程师
AI/算法类定位算法工程师（GPS/GNSS）硬件类PCB工程师
AI/算法类高级影像算法工程师-博士硬件类电力电子工程师
AI/算法类机器学习算法工程师硬件类SI/PI工程师
AI/算法类高级深度学习算法工程师（无线感知方向）-博士硬件类高级SI/PI工程师-博士
AI/算法类语音识别算法工程师产品类互联网产品经理
AI/算法类语音合成算法工程师产品类互联网产品运营
AI/算法类安全算法工程师产品类软件产品经理
AI/算法类高级音频算法工程师-博士产品类消费者洞察经理
AI/算法类电池算法工程师工程技术类技术支持工程师
AI/算法类NLP算法工程师品牌策划类营销策划专员（理工科类）
软件类系统工程师品牌策划类新媒体运营专员（理工科类）
软件类IT开发工程师（后端）品牌策划类公关专员
软件类后端工程师品牌策划类用户运营专员
软件类多媒体开发工程师（C++）品牌策划类营销项目专员
软件类安卓应用工程师品牌策划类产品策划经理（理工科类）
软件类底层软件工程师品牌策划类品牌管理专员
软件类软件测试开发工程师品牌策划类营销策划专员
软件类多媒体开发工程师设计类视觉设计师
软件类数据分析工程师设计类平面设计师（零售形象方向）
软件类无线通信协议工程师设计类影像效果设计师
软件类IT运维工程师设计类UI视觉设计师（软件产品方向）
软件类互联网安全工程师设计类平面设计师
软件类前端工程师设计类创意设计师
软件类数据开发工程师设计类交互设计师
销售服务类服务运营专员设计类空间设计师（零售形象方向）
销售服务类备件计划经理",深圳、东莞、成都、西安、南京、武汉、上海、北京等,,岗位要求： 专业不限，毕业时间为2025年1月-2025年12月的中国大陆高校本硕在校生；毕业时间为2024年9月-2025年12月的中国港澳台及海外院校本硕在校生；毕业时间为2024年9月-2025年12月的全球高校博士在校生,10000.0,
淘天有限公司," 技术类：算法工程师-计算机视觉、研发工程师C/C++、基础平台研发工程师、算法工程师-3D方向、3D引擎开发工程师、Vision Pro 工程师、终端开发工程师、测试开发工程师、研发工程师JAVA、前端开发工程师、数据研发工程师、质量工程师、数据科学家、算法工程师-三维重建专家、算法工程师-机器学习、算法工程师-自然语言处理、算法工程师-视频编解码、算法工程师-音视频、算法工程师-运筹优化、算法工程师-算法工程、算法工程师-视频增强与处理、算法工程师-搜索推荐、算法工程师-多模态方向、研发工程师-音视频、客户端开发-Android、客户端开发-IOS
数据类：数据分析师
运营类：产品运营、商家运营、直播运营、销售运营、供应链运营、用户运营、商品运营、内容运营、搜推运营、行业运营、直营店铺运营、BD专员、运营-规则管理专员
营销类：市场营销、整合营销、广告营销顾问、品牌营销
客户体验类：体验运营、客户体验-解决方案专员、客户体验管理培训生
职能类：法务专员、供应链计划工程师、采购专员、商务采购专员
物流类：物流-仓配规划专员、物流运营、物流-行业运营专员
产品类：产品经理、数据产品、物流产品专员
设计类：三维设计师、创意设计师、体验设计师、用户体验研究专员
风险管理类：风险策略专员
特别提醒：每位同学可以自由投递两个志愿，每个志愿由一个意向职位和一个意向部门组成（*点击这里，查看全部在招岗位talent.taotian.com）",杭州、上海、北京、南京、等全国多城市，详情请淘天校招官网岗位详情页查看。,岗位职责： 全职岗位：2024届应届生（毕业时间为2023年9月1日-2024年8月31日）,岗位要求：毕业时间在2024年11月1日-2025年10月31日期间的同学（中国大陆（内地）以毕业证为准，中国港澳台及海外地区以学位证为准）尤其是2025届想要找”含金量满满”的暑期实习+“快人一步拿25届校招Offer机会”的同学！,15000.0,
珠海剑心互动娱乐有限公司,"1.策划类：系统策划、文案策划（剧情/任务/编导）、游戏交互设计师
2.开发类：开发工程师 （客户端/服务器/渲染引擎/开发工具）
3.美术类：角色原画设计师动、UI设计师、平面设计师、3D场景建模师、3D特效师、3D动作师、动效设计师、剧情动画师、游戏分镜师、技术美术
4.运营类：用户运营
5.产品类：项目管理、游戏测试
6.平台类：人力资源、行政管理",珠海,岗位职责：教学,"岗位要求：专业不限 

实习岗位：2025届及之后毕业的同学",3200.0,
石家庄二中实验学校,"高中语文教师4人 
高中数学教师2人   
高中英语教师2人   
高中物理教师2人
高中化学教师2人
高中生物教师2人",河北省石家庄市栾城区栾武路1号,岗位职责：由集团总部统一安排，为优秀应届毕业生，量身定制职业发展路径，配套个性化发展方案，助力快速成长，培养一支高素质、高潜力的农业综合服务与管理干部队伍。,"岗位要求：1、本科及以上学历或2024届毕业生。
2、身体健康，热爱教育事业。大学期间成绩优秀，具有良好的学科专业素养和扎实的教学基本功。
3、中共党员或在大学期间获得专业奖学金、优秀学生干部的优先录用。综合素质高者可适当放宽条件。
",4500.0,
深圳诺普信作物科学股份有限公司, 农林牧渔业技术人员,天津市 / 河北省 / 山东省 / 河南省 / 广东省,"岗位职责： 1、协助公司行政、工程档案整理、编目、鉴定、统计、排列、检索编制、提供利用等工作，定期开展档案检查、核对、清理、统计、汇编等工作；
2、协助开展档案管理制度建设、档案信息化建设、数字化管理、档案宣传等工作；
3、协助相关部门督促施工单位做好施工过程中的工程资料管理，保证资料健全、有序，协助开展资料验收及备案工作；
4、协助相关部门督促、整理、收集项目竣工资料并按规定向有关部门提报；
5、严守机密，严格执行借阅、查阅登记制度；
6、上级交办的其它工作。","岗位要求： 无专业要求，管理培训生要求2024届，重点本科及以上
管理培训生（暑期拓展）要求2025届，重点本科级以上
",7000.0,
深圳市宝安实业集团有限公司,综合文秘岗（实习生）,深圳市宝安区新安街道龙井社区建安一路9号恒明珠金融大厦东座1301,"岗位职责：1、按照公司要求进行产品学习和业务相关培训
2、搜集潜在客户信息并进行客户背景调查
3、通过邮件、电话以及社媒等方式联系国外客户，促成合作，并积极反馈市场信息
4、负责对客户的信息管理，建立客户档案
5、领导交予的其他工作
6、工作时间：周一至周五，(每年?11 月 01 日至 02 月 31 日 ) 冬时令：09：00-17：30；(每年?03 月 01 日至 10 月 31 日 ) 夏时令：08：30-17：30。
公司执行弹性工作时间，早来早走，晚来晚走，每天上班?8 小时，员工可合理安排?工作日时间，避免早晚高峰和疫情出勤拥堵。周末双休，国家法定节假日全休。公司主?张高效专注完成工作，不提倡加班。入职公司满?3 年后，年假每年增加 1 天。并提供节?日福利，生日福利，结婚福利，生育福利等。","岗位要求： 1、大学本科及以上学历，档案学专业，研究生优先，中共党员优先；
2、掌握文件、档案管理知识，熟悉office办公软件，熟悉房地产行业及业务流程；
3、良好的沟通能力、责任感、逻辑思维和学习能力；
4、具备档案管理资格证书优先。
",10000.0,
中唐方德（天津）科技发展有限公司,商业和服务业人员,中唐方德（天津）科技发展有限公司,"岗位职责： 1.按操作规程进行操作，保质保量的完成进厂原辅料、包材、生产介质、成品、中间产品、稳定性等样品的检验，并及时出具的检验记录和报告； 
2.及时对水系统各使用点进行定期监测并出具检验报告；
正常使用的仪器维护保养、校验工作；
3.负责各人包干区的卫生、及仪器的管理、温湿度的观察；
4.协调好与各组之间的配合工作；
5.清洁验证、工艺验证的检测、新品种的标准复核；
6.定期参加QC的各项培训工作；
7.负责配合组长实验室超标超常检验结果的调查处理工作；
8.负责试剂、标准品、标准液的正确保存及使用；
9.负责检测样品的管理，日常用耗材的申购和领用，入库验收工作；
10.负责日常相关文件的修订工作；
11.熟练使用气相色谱仪、液相色谱仪、光谱仪，了解药典及ICH对分析方法验证的要求，对出现的问题具有分析解决问题能力，工作态度严谨，较强的作能力，熟知办公软件的操作。
12.在规定时间内，对仪器设备进行期间核查、再确认等工作，核查过程中出现的问题准确记录，对于核查过程中出现的仪器运行问题应及时通知仪器管理员，避免出现不合格仪器的误用。
13.负责核查记录的整理归档工作，并及时粘贴仪器设备合格标识。
14.负责研发新项目的分析方法转移工作，核查质量标准，制定分析方法转移文件，转移过程应及时填写实验记录，转移中出现的问题也应准确记录并及时上报直接领导，并根据情况配合转出方共同排查问题，转转移完成后，需撰写分析方法转移报告。
15.药典升级后，排查有变动的分析方法，并负责相关分析方法的确认工作。
16.负责实验室仪器分析方法的开发工作。
17.对所负责的仪器设备进行日常的维护与保养。
18.按时完成上级领导交办的其他临时性工作。
19.安全责任要求
20.检验人员上岗前必须进行实验室安全知识的培训，经考核合格后方可上岗。
21.检验人员熟悉有关化学试剂尤其是危险化学品的性能。","岗位要求： 1、本科及以上学历 
2、 生物、化学、物理、机械、医药等理工科相关专业，或国际贸易、英语、小语种等相关专业 
3、 应届毕业生或实习生 
4、 非英语专业要求大学英语四级以上，英语专业要求大学英语六级或者专业八级
",10000.0,
